收件人国家/Consignee Country,省/州/府/Province,城市/区/City,邮编/Zip Code
DE,Mecklenburg-Vorpommern,Ribnitz-Damgarten,18311
IT,Vibo Valentia,Vibo Valentia,89900
FR,Evry,Evry Courcouronnes,91000
IT,Cagliari,Sadali,08030
IT,Bari,Bitonto,70032
IT,Lecce,Lecce,73100
IT,Trapani,Castelvetrano,91022
IT,Napoli,Pozzuoli,80078
IT,lecce,galatina,73013
IT,Taranto,Massafra,74016
IT,ROMA,roma,00178
IT,Napoli,San Giuseppe Vesuviano,80047
IT,Ferrara,Alberone di Cento,44042
IT,Lucca,Capannori,55012
IT,taranto,taranto,74123
IT,mi,corbetta,20011
IT,LE,Lecce,73100
IT,rm,roma,00139
IT,Messina,Messina,98151
IT,Messina,San Filippo del Mela,98044
IT,Napoli,Torre del greco,80059
IT,Mantova,Roncoferraro,46037
IT,Caserta,Casapulla,81020
IT,Reggio Emilia,Cadelbosco di Sopra,42023
IT,Salerno,Nocera Inferiore,84014
IT,BT,Andria,76123
IT,MB,Carnate,20866
IT,Potenza,Marsico Nuovo,85052
IT,Bergamo,Vertova,24029
IT,Lodi,Guardamiglio,26862
IT,Bari,Bitonto,70032
IT,CA,Assemini,09032
IT,Lazio,Roma,00139
IT,Roma,Fiumicino,00054
IT,PA,Partinico,90047
IT,RM,Roma,00182
IT,Napoli,Napoli,80144
FR,Essonne,MARCOUSSIS,91460
IT,CT,CATANIA,95121
IT,Sassari,Sorso,07037
IT,PZ,Potenza,85100
FR,,Marcoussis,91460
IT,Roma,Velletri,00049
IT,LE,Lecce,73100
IT,Bologna,SAN GIOVANNI IN PERSICETO,40017
IT,Ascoli Piceno,Castel di Lama,63082
IT,fc,cesena,47522
IT,Bologna,Minerbio,40061
IT,Frosinone,Santopadre,03030
IT,CS,Dipignano,87045
IT,Catania,Catania,95122
IT,pordenone,maniago,33085
IT,Isernia,Roccaravindola,86070
IT,AP,Castel Di Lama,63082
IT,TO,Torino,10137
IT,Pa,Palermo,90142
IT,LT,Pontinia,04014
IT,NA,Napoli,80132
IT,PALERMO,PALERMO,90121
IT,Barletta-Andria-Trani,TRANI,76125
IT,Taranto,Taranto,74123
IT,Napoli,Napoli,80131
IT,Palermo,palermo,90138
IT,LO,Brembio,26822
IT,PA,Palermo,90134
FR,,Nice,06000
FR,,Creteil,94000
FR,,Le Haillan,33185
FR,,Halluin,59250
FR,,Halluin,59250
FR,,Marseille,13010
IT,Cagliari,Decimomannu,09033
IT,CA,Cagliari,09122
IT,GE,GENOVA,16149
IT,BA,Bitonto,70032
FR,,Pessac,33600
IT,BR,Brindisi,72100
FR,,Frejus,83600
FR,,Les Fins,25500
IT,MB,NOVA MILANESE,20834
FR,,Aubervilliers,93300
FR,,Audun Le Tiche,57390
FR,,St Julien D Oddes,42260
IT,Im,Taggia,18018
IT,NA,Striano,80040
IT,Nuoro,Austis,08030
FR,,Cébazat,63118
FR,,Cébazat,63118
FR,,Cébazat,63118
IT,PG,Città di castello,06012
IT,SU,Guspini,09036
FR,,LA ROCHELLE,17000
FR,,Frejus,83600
IT,PA,Ventimiglia di Sicilia,90020
IT,Bologna,VILLANOVA DI CASTENASO,40055
IT,Cuneo,Alba,12051
IT,LT,Minturno,04026
FR,,86230 - ST GERVAIS LES TROIS CLOCHERS,86230
IT,CATANZARO,CATANZARO,88100
FR,,BAVENT,14860
FR,,BRANOUX LES TAILLADES,30110
FR,,BRANOUX LES TAILLADES,30110
FR,France,Cisse,86170
IT,Latina,Cisterna di Latina,04012
IT,Milano,Cinisello Balsamo,20092
IT,Latina,Cisterna di Latina,04012
IT,Cagliari,Quartu Santelena,09045
IT,napoli,napoli,80147
IT,Milano,Mediglia,20060
FR,,Nantes,44300
IT,Torino,Rivalta di Torino,10040
IT,LATINA,Minturno,04026
IT,FM,Pedaso,63827
IT,Napoli,SAN GENNARELLO,80044
IT,PR,Madregolo,43044
FR,,Halluin,59250
IT,Cosenza,Montalto Uffugo,87040
IT,Trapani,Mazara del Vallo,91026
IT,,Trecase,80040
IT,Taranto,Taranto,74123
IT,PU,Fermignano,61033
IT,Messina,Messina,98124
IT,NA,Napoli,80138
FR,,Creteil,94000
FR,,RILLIEUX LA PAPE,69140
FR,,autry le chatel,45500
IT,Oristano,Oristano,09170
IT,BA,Acquaviva Delle Fonti,70021
FR,,Le Girouard,85150
FR,,Béziers,34500
FR,,GODEWAERSVELDE,59270
FR,,Grande Synthe,59760
IT,PA,Carini,90044
FR,,Gex,01170
FR,,viesly,59271
FR,,St Doulchard,18230
IT,pisa,pomarance,56045
FR,,Brion,89400
IT,Verona,Verona,37141
IT,Caserta,Succivo,81030
FR,ile de france,ivry sur seine,94200
FR,,limoges,87100
IT,Pisa,Staffoli,56029
FR,,Asnières sur Seine,92600
IT,Bari,Casamassima,70010
FR,Les Echets,Miribel,01700
IT,Ge,Genova,16145
IT,Messina,Messina,98151
IT,Bologna,bologna,40132
FR,Essonne,MARCOUSSIS,91460
IT,Napoli,gragnano,80054
IT,Verona (Veneto),Verona,37121
IT,Milano,milano,20131
IT,Milano,Melegnano,20077
IT,CR,Romanengo,26014
FR,,Houilles,78800
IT,BT,TRANI,76125
IT,Bergamo,Martinengo,24057
FR,,Asnières sur Seine,92600
FR,,Aubervilliers,93300
IT,Perugia,Todi,06059
FR,,Grande Synthe,59760
IT,Napoli,Melito di napoli,80017
FR,,Savigny sur Orge,91600
FR,,Savigny sur Orge,91600
IT,Mi,Milano,20123
IT,LT,Priverno,04015
IT,CA,Elmas,09030
IT,Bari,TRIGGIANO,70019
IT,Foggia,Torremaggiore,71017
IT,Verona (Veneto),Verona,37121
IT,Chieti,chieti,66100
IT,vi,valdagno,36078
IT,Napoli,SAN GENNARELLO,80044
IT,Napoli,SAN GENNARELLO,80044
FR,,Ernolsheim Bruche,67120
IT,Milano,Cinisello Balsamo,20092
IT,Milano,Cinisello Balsamo,20092
IT,Milano,Cinisello Balsamo,20092
FR,,ARES,33740
FR,,Paris,75005
IT,Verona (Veneto),Verona,37121
FR,,Les moeres,59122
FR,,FROUZINS,31270
FR,,Sennecey-le-Grand,71240
IT,Frosinone,SANT'ELIA FIUMERAPIDO,03049
IT,Napoli,SAN GENNARELLO,80044
IT,Napoli,SAN GENNARELLO,80044
IT,Milano,Milano,20131
FR,,Toulouse,31100
IT,Ge,Genova,16145
IT,Bologna,bologna,40132
IT,Italia,Torino,10155
FR,,CROISSY BEAUBOURG,77183
IT,BN,benevento,82100
IT,Catania,San Pietro Clarenza,95030
IT,Milano,Cologno Monzese,20093
IT,SI,Torrenieri,53024
FR,,Eyzin-Pinet,38780
IT,Catania,Misterbianco,95045
IT,VA,Somma Lombardo,21019
FR,,Les moeres,59122
FR,,Les moeres,59122
FR,,St Germain Laval,77130
IT,CATANZARO,Catanzaro,88100
IT,Milano,Sesto San Giovanni,20099
FR,,POITIERS,86000
FR,,POITIERS,86000
FR,,POITIERS,86000
FR,,AYRON,86190
IT,CA,Assemini,09032
IT,Trapani,Pantelleria,91017
FR,-,lannion,22300
FR,,Les Fins,25500
IT,Bari,Bitritto,70020
IT,Cagliari,Cagliari,09127
FR,,St Germain Laval,77130
FR,,Nantes,44300
IT,Milano,Mediglia,20076
IT,Frosinone,SANT'ELIA FIUMERAPIDO,03049
IT,Frosinone,SANT'ELIA FIUMERAPIDO,03049
IT,Caserta,Maddaloni,81024
IT,NO,Novara,28100
FR,,Lyon,69008
FR,,Dunkerque,59140
FR,,Clermont Ferrand,63100
IT,Roma,LADISPOLI,00055
IT,Roma,Roma,00138
IT,TE,Silvi Marina,64028
FR,,Angers,49100
IT,BT,Andria,76123
FR,,Tourcoing,59200
IT,Verona,Verona,37141
IT,TO,TORINO,10123
FR,,Rive De Gier,42800
IT,Bari,Monopoli,70043
FR,,nice,06300
FR,,nice,06300
FR,,nice,06300
FR,,Sennecey le grand,71240
IT,Milano,Mediglia,20076
IT,MO,Modena,41122
FR,,Frejus,83600
FR,,Clermont Ferrand,63100
IT,Salerno,Salerno,84127
FR,,Lyon,69008
IT,cosenza,cosenza,87100
IT,Salerno,Salerno,84131
IT,Pesaro Urbino,San Costanzo,61039
IT,Prato,Montemurlo,59013
IT,Milano,Mediglia,20076
IT,Lecce,Castrignano del capo,73040
IT,ME,PIRAINO,98060
IT,FC,FORLI',47121
FR,,Istres,13800
FR,,Challans,85300
FR,,Aubervilliers,93300
IT,napoli,Sant'Agnello,80065
FR,,Noisy le Grand,93160
IT,Caltanissetta,Caltanissetta,93100
FR,,Pessac,33600
IT,ISERNIA,CAPRACOTTA,86082
IT,Crotone,Cerenzia,88833
FR,,vallauris,06220
IT,CB,Campobasso,86100
IT,Milano,Bresso,20091
FR,,Béziers,34500
IT,Lecce,Castrignano del capo,73040
IT,PA,Cinisi,90045
FR,,Achères,78260
IT,brindisi,torre santa susanna,72028
IT,Ragusa,Ragusa,97100
FR,,Toulouse,31100
FR,,ARRY,57680
IT,Roma,Velletri,00049
FR,,Béziers,34500
FR,,Challans,85300
IT,rm,roma,00124
FR,PACA,le val,83143
IT,Torino,Chivasso,10034
FR,,Landas,59310
IT,pistoia,pescia,51017
FR,,Rive De Gier,42800
FR,,Tours,37100
FR,"France, Yvelines",Montigny le Bretonneux,78180
FR,Bourgogne-Franche-Comté,Pérouse,90160
IT,salerno,nocera inferiore,84014
IT,BT,San Ferdinando di Puglia,76017
IT,Salerno,Cava de' Tirreni,84013
FR,,Rouen,76000
IT,Bari,Modugno,70026
IT,SS,Sassari,07100
FR,,SCHILTIGHEIM,67300
IT,RM,Riano,00060
IT,LT,CAMPOVERDE,04011
IT,KR,Crotone,88900
IT,CE,San Cipriano d'Aversa,81036
FR,,Ales,30100
FR,,Palmas D Aveyron,12340
IT,Padova,Curtarolo,35010
IT,Lecce,Monteroni di Lecce,73047
FR,,LINGUIZZETTA,20230
FR,,LINGUIZZETTA,20230
FR,,LINGUIZZETTA,20230
IT,palermo,termini imerese,90018
IT,CT,Catania,95121
IT,Roma,anzio,00042
IT,Bari,Toritto,70020
IT,RM,ROMA,00168
FR,Moselle,Metz,57000
FR,,vallauris,06220
FR,,St Doulchard,18230
FR,,Paris,75018
IT,Sicilia/ Catania,PATERNO',95047
FR,,St Senoux,35580
FR,,orange,84100
FR,,brunoy,91800
FR,,brunoy,91800
IT,Ba,Triggiano,70019
IT,Lecce,Castrignano del capo,73040
IT,MI,Milano,20128
FR,,Rive De Gier,42800
IT,Palermo,Misilmeri,90036
FR,,La Courneuve,93120
FR,,Aubervilliers,93300
IT,Palermo,Villabate,90039
FR,,Epinay Sur Orge,91360
FR,,LA ROCHELLE,17000
FR,,Plouzané,29280
FR,,CUGNAUX,31270
FR,,St Pierre D Oleron,17310
IT,Napoli,Casoria,80026
IT,Messina,Messina,98121
IT,FROSINONE,CASTRO DEI VOLSCI,03020
FR,,Savigny sur Orge,91600
FR,,Marseille,13008
FR,Nord,Hornaing,59171
IT,Ascoli Piceno,Ascoli Piceno,63100
IT,Avellino,Solofra,83029
FR,,Savigny sur Orge,91600
IT,Catanzaro,CATANZARO,88100
FR,,Palmas D Aveyron,12340
FR,,Palmas D Aveyron,12340
FR,,brunoy,91800
FR,,Bourges,18000
IT,Napoli,Melito di Napoli,80017
FR,,HASPARREN,64240
FR,,Lourches,59156
FR,,ST GERMAIN EN LAYE,78100
FR,Seine et Marne,Verneuil l'Etang,77390
IT,Avellino,Avellino,83100
FR,,Angers,49100
IT,NO,Novara,28100
IT,Cosenza,SCHIAVONEA,87064
IT,Catanzaro,Nocera Terinese,88047
IT,CI,Carbonia,09013
FR,,Noyon,60400
FR,,toulouse,31400
FR,,toulouse,31400
IT,AV,Mirabella Eclano,83036
IT,Arezzo,Montalto,52020
IT,Taranto,Laterza,74014
FR,Saone et Loire,ST Remy,71100
FR,,Perpignan,66000
FR,,Lyon,69005
IT,Benevento,Ponte,82030
IT,Udine,Osoppo,33010
FR,,Angers,49100
FR,,CROISSY BEAUBOURG,77183
IT,Torino,Torino,10127
IT,RM,Roma,00156
FR,,limoges,87100
FR,,Chavanoz,38230
FR,,Riaille,44440
IT,Vicenza,Vicenza,36100
IT,Perugia,PIAN DI SAN MARTINO,06059
IT,Messina,Messina,98168
IT,Messina,San Pier Niceto,98045
FR,,VILLEURBANNE,69100
FR,,VILLEURBANNE,69100
FR,,Nice,06000
IT,RC,Melito di Porto Salvo,89063
IT,Treviso,TREVIGNANO,31040
IT,Latina,Priverno,04015
IT,Rm,Roma,00134
FR,,SAINT-JEAN-DE-MONTS,85160
IT,Mo,Carpi,41012
FR,,Nice,06000
FR,,La courneuve,93120
IT,Napoli,Casandrino,80025
FR,,Salleboeuf,33370
IT,Latina,Cisterna di Latina,04012
FR,,Chavanoz,38230
FR,,St Germain Laval,77130
FR,,Pessac,33600
FR,Aze,Chateau Gontier Mayenne,53200
IT,Pistoia,MONTECATINI-TERME,51016
FR,,Bourges,18000
FR,,la courneuve,93120
IT,Fg,Peschici,71010
IT,Torino,Collegno,10093
IT,Catania,Paternò,95047
IT,Alessandria,Quargnento,15044
IT,Foggia,cerignola,71042
IT,Napoli,Massa Lubrense,80061
IT,FR,OSTERIA DELLA FONTANA,03012
FR,,Les Fins,25500
FR,,Asnières sur Seine,92600
IT,va,saronno,21047
FR,,Poisy,74330
IT,At,Asti,14100
IT,Catania,viagrande,95029
IT,Torino,Grugliasco,10095
IT,FR,Cassino,03043
FR,,varennes sur seine,77130
IT,Messina,CAPO D'ORLANDO,98071
FR,France,Dreux,28100
FR,,Paris,75020
IT,Modena,Carpi,41012
IT,SS,Porto Torres,07046
IT,Rovigo,porto viro,45014
IT,Rovigo,porto viro,45014
IT,Bari,Noci,70015
IT,To,San sebastiano da po,10020
IT,Pz,Venosa,85029
IT,Siracusa,Lentini,96016
FR,,Montastruc La Conseillère,31380
IT,Catania,giarre,95014
FR,,BETHENIVILLE,51490
IT,Catania,Catania,95123
FR,,Tremblay les villages,28170
FR,,Béziers,34500
IT,Roma,Velletri,00049
IT,Napoli,Cimitile,80030
FR,PACA,le val,83143
FR,,VILLEURBANNE,69100
IT,Latina,Latina,04100
FR,,Perpignan,66000
IT,NA,Napoli,80126
IT,RM,ANZIO,00042
FR,,Marseille,13015
IT,VR,Sona,37060
IT,torino,santena,10026
FR,,AYRON,86190
FR,,AYRON,86190
FR,,AYRON,86190
FR,,Brion,89400
FR,,Paris,75013
IT,Frosinone,Castro dei Volsci,03020
FR,,BEZIERS,34500
IT,PADOVA,CERVARESE SANTA CROCE,35030
FR,,MONTEREAU FAULT YONNE,77130
IT,Lecce,Corigliano D'Otranto,73022
FR,,Clermont Ferrand,63100
FR,,Mercus Garrabet,09400
FR,,Marseille,13010
FR,,Grezes,48100
FR,,Tournefeuille,31170
FR,,Montastruc La Conseillère,31380
FR,,Herouville St Clair,14200
FR,,Asnières sur oise,95270
IT,Al,Tortona,15057
FR,,MARSEILLE,13011
FR,Saone et Loire,ST Remy,71100
FR,,Plouzané,29280
FR,,Perpignan,66000
IT,foggia,carapelle,71041
FR,,Marseille,13015
FR,,Dunkerque,59140
FR,,Vaulx en vélin,69120
FR,,Vaulx en vélin,69120
FR,,Vaulx en vélin,69120
FR,,Troyes,10000
FR,,Rive De Gier,42800
FR,,MARSEILLE,13011
FR,,COQUAINVILLIERS,14130
FR,,VALBONNE,06560
FR,,Amiens,80090
FR,Seine et Marne,CROISSY BEAUBOURG,77183
FR,Seine et Marne,CROISSY BEAUBOURG,77183
FR,,orleans,45000
FR,,St Ouen L Aumone,95310
FR,,St Ouen L Aumone,95310
FR,,COQUAINVILLIERS,14130
IT,PV,Dorno,27020
FR,,vallauris,06220
FR,,Tournefeuille,31170
FR,,Paris,75020
IT,Napoli,Mugnano di Napoli,80018
FR,Pas de Calais,GIVENCHY EN GOHELLE,62580
IT,Napoli,Boscoreale,80041
FR,,Amiens,80090
FR,,Cagnes sur mer,06800
IT,Palermo,Palermo,90124
FR,,Paris,75014
FR,Val d'oise,Gonesse,95500
FR,Val d'oise,Gonesse,95500
FR,Val d'oise,Gonesse,95500
FR,Val d'oise,Gonesse,95500
FR,,Uxegney,88390
FR,,vienne,38200
FR,,Croissy Beaubourg,77183
FR,,Etampes sur Marne,02400
FR,,perpignan,66000
FR,,Blagnac,31700
FR,Seine et Marne,CROISSY BEAUBOURG,77183
FR,,Oullins,69600
FR,,Lomme,59160
FR,Nord,LILLE,59800
IT,Novara,Borgomanero,28021
FR,,orleans,45000
FR,,gredisans,39290
FR,,Lomme,59160
FR,,CAHORS,46000
FR,,BISCHOFFSHEIM,67870
IT,Ud,San Daniele del Friuli,33038
FR,,BRESSOLLES,03000
FR,,BRESSOLLES,03000
FR,,SAVIGNY LE TEMPLE,77176
FR,,Aubervilliers,93300
FR,,LE MANS,72100
FR,,SAVIGNY LE TEMPLE,77176
FR,,Angers,49100
IT,PA,Palermo,90129
FR,,Challans,85300
IT,RC,Cittanova,89022
IT,Bergamo,Bariano,24050
FR,,Challans,85300
FR,,Montpellier,34000
FR,,Bourg Des Comptes,35890
IT,catanzaro,lamezia terme,88046
IT,catanzaro,lamezia terme,88046
FR,,Toulouse,31200
FR,,Lancrans,01200
FR,,St Hilaire De Brethmas,30560
FR,,CHARTRES,28000
FR,,Arbois,39600
FR,,Fresnes,94260
FR,,evry,91000
FR,,paris,75015
FR,,Albert,80300
FR,,MARSEILLE,13011
FR,,Roubaix,59100
IT,Modena,Vignola,41058
FR,,STRASBOURG,67200
FR,,Draveil,91210
FR,,espinasses,05190
FR,,nanterre,92000
FR,,MURET,31600
FR,,Lille,59000
FR,,Albert,80300
FR,,Mougins,06250
IT,Napoli,MONTERUSCIELLO,80078
FR,,nanterre,92000
FR,,Isneauville,76230
FR,,Rueil malmaison,92500
FR,,Lombez,32220
FR,,limoges,87100
FR,,ingersheim,68040
FR,,le pouget,34230
FR,,Buzancais,36500
FR,,Chalon sur Saône,71100
IT,Cagliari,Cagliari,09134
IT,Roma,Pomezia,00071
FR,,Herouville St Clair,14200
FR,,St Omer,62500
FR,,Groslay,95410
FR,,CARRIERES SUR SEINE,78420
FR,,St Denis,93200
FR,,Chalon Sur Saone,71100
FR,,MONTPELLIER,34070
FR,,St Maur Des Fosses,94210
FR,,Gardanne,13120
IT,Sassari,Olbia,07026
IT,PA,Palermo,90149
IT,Foggia,Poggio Imperiale,71010
FR,,FRESSIES,59268
FR,,Chavagnes en paillers,85250
FR,,calais,62100
IT,Napoli,Casoria,80026
FR,,Lille,59000
FR,France Herault,Castelnau le lez,34170
FR,,Oullins,69600
FR,,Flixecourt,80420
FR,,viry Châtillon,91170
IT,Caserta,Capua,81043
IT,SS,Sassari,07100
IT,Taranto,Taranto,74123
FR,,St Georges De Montaigu,85600
FR,,Nanterre,92000
IT,Roma,Civitavecchia,00053
FR,,Francheville,69340
FR,,Vaugneray,69670
FR,,Ennevelin,59710
FR,,Louviers,27400
IT,Catania,Misterbianco,95045
FR,,Jaux,60880
FR,,Roquebrune sur argens,83520
FR,,Saintry sur seine,91250
FR,,Vitry sur Seine,94400
IT,Roma,Roma,00146
IT,FC,SANTA SOFIA,47018
FR,,Saint Benoît,86280
IT,Salerno,Giffoni Valle piana,84095
FR,,issé,44520
FR,,Albi,81000
FR,,viry Châtillon,91170
FR,,Montmagny,95360
DE,Rheinland-Pfalz,lambrecht,67466
FR,,MEYLAN,38240
DE,Baden-Württemberg,Waiblingen,71332
IT,Agrigento,Agrigento,92100
FR,,BONNEUIL MATOURS,86210
IT,L'Aquila,PILE,67100
IT,Pn,San Vito al tagliamento,33078
FR,,Pecquencourt,59146
IT,Napoli,Pollena Trocchia,80040
IT,Italia,Torino,10155
FR,,Le Perreux sur Marne,94170
IT,RA,MASSA LOMBARDA,48024
FR,,teting sur nied,57385
FR,,tremblay les villages,28170
FR,,St Quentin,02100
IT,Messina,Milazzo,98057
IT,MB,Lentate sul seveso,20823
FR,,St Bonnet Le Bourg,63630
IT,Pescara,Popoli,65026
DE,Hamburg,Hamburg,22115
IT,Lucca,Capannori,55012
IT,Milano,corsico,20094
IT,PG,Todi,06059
FR,,igny,91430
FR,,Le Verdon sur Mer,33123